source,target,weight
close fridge,pick up spoon,77
close fridge,pick up cup,17
open drawer,pick up cup,50
close drawer,pick up cup,38
pick up cup,pick up spoon,13
pick up spoon,put down cup,14
put down cup,put down cup,13
pick up cup,pick up tea towel,7
pick up cup,rinse sponge,25
pick up cup,put down washing up liquid,11
pick up cup,squeeze sponge,12
pick up cup,pick up cup,14
pick up cup,rinse cup,23
pick up cup,take sponge,6
pick up cup,put down sponge,19
pick up cup,take spoon,4
pick up cup,wash spoon,4
pick up cup,rinse hands,28
pick up cup,take cup,4
pick up cup,rinse spoon,5
adjust tap,pick up cup,11
pick up cup,pick up sponge,24
pick up cup,take cloth,2
pick up cup,rinse cloth,16
pick up cup,wash sink,6
pick up cup,wipe surface,10
pick up cup,put down cloth,37
pick up cup,wash hands,8
dry hands,pick up cup,41
pick up tea towel,turn on tap,65
pick up tea towel,rinse sponge,11
pick up tea towel,turn off tap,72
pick up tea towel,put down washing up liquid,6
pick up tea towel,squeeze sponge,8
pick up tea towel,rinse cup,4
pick up tea towel,put down cup,3
pick up tea towel,take sponge,4
pick up tea towel,put down sponge,17
pick up tea towel,take spoon,2
pick up tea towel,wash spoon,2
pick up tea towel,rinse hands,10
pick up tea towel,take cup,1
pick up tea towel,rinse spoon,5
adjust tap,pick up tea towel,3
pick up tea towel,rinse pot,4
pick up sponge,pick up tea towel,20
pick up tea towel,put down spoon,11
open drawer,pick up tea towel,59
pick up tea towel,take cloth,2
pick up tea towel,rinse cloth,8
pick up tea towel,wash sink,3
pick up tea towel,wipe surface,2
close drawer,pick up tea towel,43
pick up tea towel,put down cloth,3
pick up tea towel,wash hands,1
dry hands,pick up tea towel,7
squeeze sponge,turn on tap,109
rinse cup,rinse sponge,10
put down washing up liquid,squeeze sponge,21
put down washing up liquid,rinse cup,1
rinse cup,squeeze sponge,1
put down cup,put down sponge,19
adjust tap,put down cup,7
pick up sponge,put down cup,21
put down cup,rinse cloth,20
put down cup,wash sink,6
put down cup,wipe surface,10
put down cloth,put down cup,40
pick up sponge,turn off tap,453
take cup,take sponge,13
rinse cup,take sponge,14
rinse pot,take sponge,19
pick up sponge,take sponge,20
put down sponge,take cup,5
put down sponge,rinse cup,6
put down sponge,rinse pot,12
pick up sponge,put down sponge,458
put down sponge,put down spoon,69
rinse hands,take spoon,10
rinse cup,take spoon,10
adjust tap,take spoon,5
rinse pot,take spoon,16
pick up sponge,take spoon,6
rinse hands,wash spoon,16
take cup,wash spoon,3
rinse cup,wash spoon,3
adjust tap,wash spoon,16
rinse pot,wash spoon,8
pick up sponge,wash spoon,33
adjust tap,turn on tap,69
pick up sponge,turn on tap,511
adjust tap,rinse hands,22
rinse hands,rinse pot,12
pick up sponge,rinse hands,95
put down spoon,rinse hands,72
adjust tap,take cup,2
rinse pot,take cup,12
pick up sponge,take cup,3
adjust tap,rinse spoon,5
rinse pot,rinse spoon,16
pick up sponge,rinse spoon,89
adjust tap,rinse cup,2
rinse cup,rinse pot,12
pick up sponge,rinse cup,10
adjust tap,rinse pot,8
adjust tap,pick up sponge,27
adjust tap,put down spoon,16
pick up sponge,rinse pot,17
rinse pot,rinse pot,27
pick up sponge,put down spoon,105
adjust tap,open drawer,22
open drawer,rinse cloth,91
open drawer,wash sink,20
open drawer,wipe surface,72
open drawer,rinse hands,234
take sponge,wash sink,4
rinse sponge,rinse sponge,156
rinse sponge,wash sink,52
adjust tap,wash sink,5
take cloth,wash sink,3
put down sponge,wash sink,19
wash sink,wash sink,31
wash sink,wipe surface,3
turn on tap,wipe surface,193
close drawer,rinse cloth,68
close drawer,wipe surface,64
close drawer,put down cloth,194
close drawer,rinse hands,177
put down cloth,rinse cloth,101
rinse cloth,wash hands,15
rinse cloth,rinse hands,95
wash hands,wipe surface,43
rinse hands,wipe surface,44
put down cloth,wash hands,41
put down cloth,rinse hands,190
put down cloth,turn off tap,249
put down cloth,take sponge,2
open cupboard,pick up container,199
pick up container,put down lid,122
pick up container,put down knife,59
pick up container,pick up container,133
open drawer,pick up container,142
close drawer,pick up container,109
pick up container,pick up knife,71
pick up container,pick up oil,3
open bottle,pick up container,24
close bottle,pick up container,12
pick up container,put down oil,3
pick up container,put down container,330
pick up container,turn on hob,12
pick up container,pick up salt,7
pick up container,pick up lid,130
pick up container,put down salt,6
close door,pick up container,4
pick up container,pick up cutting board,38
pick up container,take lid,4
adjust hob,pick up container,24
pick up container,pick up spatula,78
pick up container,put down spatula,75
pick up container,stir food,47
open container,pick up container,38
pick up container,pick up onion,8
cut onion,pick up container,11
close container,pick up container,50
open fridge,pick up container,59
close fridge,pick up container,45
pick up bag,pick up container,24
pick up container,put down bag,13
close cupboard,pick up container,157
open bag,pick up container,28
pick up container,wash hands,16
pick up container,turn on tap,238
pick up container,rinse hands,96
pick up container,turn off tap,202
pick up container,shake hands,54
pick up cloth,pick up container,105
dry hands,pick up container,88
pick up container,put down cloth,108
pick up colander,pick up container,46
pick up container,put down colander,47
pick up bowl,pick up container,38
pick up container,put down bowl,40
pick up container,pick up pot,49
pick up container,pick up cup,33
close bin,pick up container,3
pick up container,put down cup,40
pick up container,rinse knife,13
move tap,pick up container,34
pick up container,put down cutting board,19
pick up container,take cloth,2
pick up container,put down saucepan,33
pick up container,pick up scissors,9
pick up container,pick up kettle,5
pick up container,pick up cutlery,28
pick up container,pick up spoon,57
pick up container,put down cutlery,23
pick up container,put down spoon,55
pick up container,pick up sponge,75
pick up container,rinse sponge,73
pick up container,pick up washing up liquid,3
pick up container,put down washing up liquid,28
pick up container,squeeze sponge,3
lather knife,pick up container,22
pick up container,put down sponge,66
adjust tap,pick up container,20
pick up container,take knife,2
pick up container,turn off hob,5
open cupboard,put down lid,225
open cupboard,pick up oil,51
close bottle,open cupboard,59
open cupboard,pick up salt,86
open cupboard,pick up lid,244
open cupboard,pick up spatula,182
open cupboard,stir food,144
open cupboard,pick up onion,81
open cupboard,pick up bag,105
open cupboard,rinse hands,170
open cupboard,shake hands,122
open cupboard,pick up cloth,224
open cupboard,pick up bowl,226
open cupboard,pick up pot,101
open cupboard,rinse knife,96
move tap,open cupboard,110
open cupboard,pick up scissors,51
open cupboard,pick up kettle,71
open cupboard,put down cutlery,54
open cupboard,pick up sponge,349
open cupboard,pick up washing up liquid,83
open cupboard,put down washing up liquid,52
lather knife,open cupboard,44
adjust tap,open cupboard,42
put down knife,put down lid,85
open drawer,put down lid,218
close drawer,put down lid,140
pick up knife,put down lid,75
pick up oil,put down lid,18
open bottle,put down lid,12
close bottle,put down lid,10
put down lid,put down oil,16
put down container,put down lid,97
put down lid,turn on hob,57
pick up salt,put down lid,20
put down lid,put down lid,105
pick up lid,put down lid,270
put down lid,put down salt,9
close door,put down lid,12
pick up cutting board,put down lid,26
put down lid,take lid,16
adjust hob,put down lid,29
pick up spatula,put down lid,82
put down lid,put down spatula,78
put down lid,stir food,29
open container,put down lid,29
pick up onion,put down lid,8
cut onion,put down lid,9
close container,put down lid,28
open fridge,put down lid,85
close fridge,put down lid,68
open drawer,pick up oil,51
close drawer,pick up oil,25
pick up knife,pick up oil,20
open bottle,pick up knife,20
close bottle,pick up knife,15
pick up knife,put down oil,17
open bottle,pick up oil,2
close bottle,pick up oil,3
pick up oil,put down oil,32
close bottle,open bottle,87
close bottle,put down oil,1
put down container,turn on hob,14
pick up salt,put down container,8
pick up lid,put down container,114
put down container,put down salt,5
pick up knife,put down container,28
put down container,put down knife,50
pick up cutting board,put down container,17
put down container,take lid,7
adjust hob,put down container,24
pick up spatula,put down container,21
put down container,stir food,4
open container,put down container,35
pick up onion,put down container,5
put down container,put down container,138
cut onion,put down container,9
close container,put down container,56
pick up salt,turn on hob,13
pick up lid,turn on hob,37
put down salt,turn on hob,6
pick up knife,turn on hob,34
put down knife,turn on hob,32
pick up cutting board,turn on hob,4
pick up lid,pick up salt,24
pick up salt,put down salt,47
pick up knife,pick up salt,38
pick up salt,put down knife,15
close door,pick up salt,19
pick up cutting board,pick up salt,5
pick up lid,put down salt,11
pick up knife,pick up lid,87
pick up lid,put down knife,79
close door,pick up lid,21
pick up cutting board,pick up lid,24
pick up knife,put down salt,18
pick up cutting board,put down salt,4
pick up knife,pick up knife,206
pick up cutting board,pick up knife,60
pick up cutting board,put down knife,37
pick up spatula,take lid,2
stir food,take lid,3
open container,take lid,8
pick up onion,take lid,2
pick up knife,take lid,3
cut onion,take lid,2
pick up lid,take lid,1
pick up cutting board,take lid,1
adjust hob,pick up spatula,26
adjust hob,stir food,16
adjust hob,open container,13
adjust hob,pick up onion,9
adjust hob,pick up knife,31
adjust hob,cut onion,5
adjust hob,pick up lid,22
adjust hob,pick up cutting board,7
open drawer,pick up spatula,246
open drawer,stir food,109
open drawer,pick up onion,58
cut onion,open drawer,74
open drawer,pick up lid,235
open drawer,pick up cutting board,73
close drawer,pick up spatula,160
pick up spatula,put down spatula,329
pick up spatula,pick up spatula,128
pick up spatula,stir food,72
open container,pick up spatula,38
pick up onion,pick up spatula,18
pick up knife,pick up spatula,126
cut onion,pick up spatula,6
pick up lid,pick up spatula,48
close container,pick up spatula,4
open fridge,pick up spatula,50
close fridge,pick up spatula,39
pick up cutting board,pick up spatula,49
close drawer,stir food,84
close drawer,pick up onion,34
close drawer,cut onion,58
close drawer,pick up lid,167
close drawer,pick up cutting board,62
put down spatula,stir food,103
pick up onion,put down spatula,7
pick up knife,put down spatula,87
cut onion,put down spatula,4
pick up lid,put down spatula,43
pick up cutting board,put down spatula,44
open container,stir food,50
pick up onion,stir food,2
pick up knife,stir food,32
cut onion,stir food,2
pick up lid,stir food,15
close container,stir food,2
open fridge,stir food,131
close fridge,stir food,86
pick up cutting board,stir food,31
open container,pick up onion,4
open container,pick up knife,42
open container,pick up lid,29
open container,pick up cutting board,10
pick up knife,pick up onion,110
cut onion,pick up onion,91
pick up onion,pick up onion,59
pick up lid,pick up onion,13
close container,pick up onion,10
open fridge,pick up onion,66
close fridge,pick up onion,42
pick up cutting board,pick up onion,19
cut onion,pick up knife,57
close container,pick up knife,12
open fridge,pick up knife,216
close fridge,pick up knife,157
cut onion,pick up lid,15
close container,cut onion,14
cut onion,pick up cutting board,20
close container,pick up lid,33
open fridge,pick up lid,122
close fridge,pick up lid,88
close container,pick up cutting board,4
open fridge,pick up cutting board,12
close fridge,pick up cutting board,10
pick up bag,pick up lid,28
pick up lid,put down bag,7
close cupboard,pick up lid,165
pick up lid,pick up lid,78
open bag,pick up lid,34
pick up lid,wash hands,38
pick up lid,turn on tap,239
pick up lid,rinse hands,63
pick up lid,turn off tap,195
pick up lid,shake hands,25
pick up cloth,pick up lid,52
dry hands,pick up lid,66
pick up lid,put down cloth,48
pick up colander,pick up lid,22
pick up lid,put down colander,14
pick up bowl,pick up lid,59
pick up lid,put down bowl,46
pick up lid,pick up pot,61
pick up cup,pick up lid,24
close bin,pick up lid,21
pick up lid,put down cup,27
pick up bag,put down bag,73
close cupboard,pick up bag,74
pick up bag,put down lid,20
open bag,put down lid,22
put down lid,wash hands,28
put down lid,turn on tap,233
put down lid,rinse hands,50
put down lid,turn off tap,187
put down lid,shake hands,28
pick up cloth,put down lid,51
dry hands,put down lid,56
put down cloth,put down lid,46
pick up colander,put down lid,21
close cupboard,put down lid,151
put down colander,put down lid,20
pick up bowl,put down lid,56
put down bowl,put down lid,50
pick up pot,put down lid,60
pick up cup,put down lid,15
close bin,put down lid,19
put down cup,put down lid,17
pick up bag,pick up cutting board,10
open bag,pick up cutting board,10
pick up bag,pick up spatula,11
open bag,pick up spatula,9
pick up bag,stir food,1
open bag,stir food,2
pick up bag,put down spatula,8
open bag,pick up bag,44
pick up bag,wash hands,8
pick up bag,turn on tap,64
rinse hands,shake hands,166
pick up cloth,rinse hands,218
shake hands,turn off tap,223
pick up cloth,turn off tap,310
pick up cloth,shake hands,160
dry hands,shake hands,171
put down cloth,shake hands,133
dry hands,pick up cloth,296
pick up cloth,put down cloth,277
pick up bowl,pick up colander,17
pick up colander,put down bowl,9
close cupboard,pick up bowl,159
pick up bowl,put down colander,9
put down bowl,put down colander,12
pick up bowl,put down bowl,342
pick up bowl,turn on tap,410
close cupboard,pick up spatula,94
close cupboard,stir food,97
close cupboard,pick up pot,77
close cupboard,shake hands,84
close cupboard,pick up cloth,144
pick up spatula,turn off tap,198
stir food,turn off tap,78
pick up pot,put down spatula,6
pick up pot,turn on tap,92
pick up pot,turn off tap,84
pick up pot,shake hands,4
pick up pot,pick up spatula,6
pick up pot,stir food,3
pick up bowl,pick up pot,11
pick up pot,put down bowl,9
pick up knife,pick up pot,34
pick up cup,pick up pot,12
pick up cutting board,pick up pot,5
close bin,pick up pot,5
pick up pot,put down cup,10
pick up cloth,pick up pot,29
dry hands,pick up pot,23
pick up pot,put down cloth,20
adjust hob,pick up pot,21
pick up pot,pick up pot,37
put down spatula,shake hands,51
pick up bowl,put down spatula,87
shake hands,turn on tap,228
pick up spatula,turn on tap,202
stir food,turn on tap,53
pick up knife,turn on tap,339
pick up bowl,turn off tap,355
pick up knife,turn off tap,267
pick up spatula,shake hands,52
shake hands,stir food,13
pick up bowl,shake hands,25
put down bowl,shake hands,34
pick up knife,shake hands,40
pick up bowl,pick up spatula,118
pick up spatula,put down bowl,93
pick up bowl,stir food,7
put down bowl,stir food,6
pick up bowl,pick up knife,108
pick up knife,put down bowl,66
close bin,pick up cup,7
pick up cloth,pick up cup,35
pick up cup,pick up spatula,30
pick up cup,stir food,11
pick up cup,put down spatula,29
adjust hob,pick up cup,7
pick up cup,pick up knife,22
close bin,pick up cutting board,5
pick up cutting board,turn on tap,71
pick up cloth,put down cup,38
pick up spatula,put down cup,29
put down cup,stir food,12
adjust hob,put down cup,8
pick up knife,put down cup,20
pick up cloth,pick up spatula,97
dry hands,pick up spatula,100
pick up spatula,put down cloth,75
open container,rinse knife,10
open container,turn off tap,56
open container,pick up cloth,19
open container,put down cloth,27
open container,turn on tap,56
open container,rinse hands,22
open container,shake hands,19
dry hands,open container,25
move tap,open container,2
close cupboard,open container,48
open container,pick up colander,10
open container,put down colander,11
open container,take cloth,2
open container,put down saucepan,14
open container,pick up scissors,1
open bag,open container,9
open container,pick up kettle,3
open container,pick up cutlery,8
open container,pick up spoon,8
open container,put down cutlery,6
open container,put down bowl,15
open container,turn on hob,3
open bottle,open container,3
close bottle,open container,4
open container,pick up sponge,21
open container,rinse sponge,25
open container,pick up washing up liquid,2
open container,put down washing up liquid,2
open container,squeeze sponge,2
lather knife,open container,7
open container,put down sponge,12
adjust tap,open container,5
open container,pick up bowl,15
open drawer,pick up cloth,267
open drawer,shake hands,166
move tap,open drawer,48
open drawer,pick up colander,26
pick up cloth,rinse knife,14
put down cloth,rinse knife,21
rinse hands,rinse knife,24
pick up cloth,put down knife,86
pick up cloth,turn on tap,314
put down cloth,turn on tap,253
close drawer,shake hands,137
close drawer,pick up cloth,222
close drawer,move tap,42
close drawer,pick up colander,20
pick up cloth,stir food,29
pick up cloth,put down spatula,88
dry hands,stir food,50
put down cloth,stir food,26
move tap,turn on tap,155
pick up cutting board,put down cutting board,53
pick up cutting board,turn off tap,58
pick up cutting board,shake hands,20
pick up colander,pick up cutting board,7
pick up cutting board,put down colander,7
put down cutting board,shake hands,14
pick up spatula,put down cutting board,28
put down cutting board,stir food,16
pick up colander,put down cutting board,6
put down colander,put down cutting board,8
pick up knife,put down cutting board,49
open fridge,shake hands,47
open fridge,pick up colander,20
pick up colander,shake hands,7
put down colander,shake hands,8
pick up colander,pick up spatula,12
pick up spatula,put down colander,7
pick up colander,stir food,7
put down colander,stir food,6
pick up colander,put down spatula,8
pick up colander,pick up knife,20
pick up knife,put down colander,16
put down lid,take cloth,5
put down lid,put down saucepan,20
pick up scissors,put down lid,7
pick up kettle,put down lid,10
pick up cutlery,put down lid,32
pick up spoon,put down lid,130
put down cutlery,put down lid,12
put down lid,put down spoon,122
pick up sponge,put down lid,103
put down lid,rinse sponge,37
pick up washing up liquid,put down lid,7
put down lid,put down washing up liquid,3
put down lid,squeeze sponge,4
lather knife,put down lid,10
put down cutting board,put down lid,14
put down lid,put down sponge,89
put down lid,rinse knife,16
adjust tap,put down lid,16
put down lid,take knife,16
put down lid,turn off hob,11
pick up cutting board,take cloth,1
dry hands,pick up cutting board,45
pick up cutting board,put down cloth,42
pick up spatula,take cloth,1
stir food,take cloth,1
put down container,put down saucepan,36
pick up scissors,put down container,5
open bag,put down container,20
pick up kettle,put down container,1
put down container,rinse hands,69
put down container,shake hands,21
pick up cloth,put down container,84
put down cloth,put down container,93
pick up scissors,put down saucepan,3
open bag,put down saucepan,2
close cupboard,put down saucepan,42
pick up spatula,put down saucepan,9
put down saucepan,stir food,11
pick up kettle,put down saucepan,1
put down saucepan,turn off tap,44
open bag,pick up scissors,11
close cupboard,pick up scissors,50
pick up scissors,pick up spatula,22
pick up scissors,stir food,1
pick up scissors,put down spatula,15
pick up kettle,pick up scissors,2
pick up scissors,turn on tap,27
pick up scissors,turn off tap,18
open bag,pick up kettle,4
close cupboard,pick up kettle,52
pick up kettle,pick up spatula,9
pick up kettle,stir food,5
pick up kettle,put down spatula,10
pick up kettle,turn on tap,50
pick up kettle,turn off tap,47
pick up knife,rinse hands,89
pick up cloth,pick up knife,69
dry hands,pick up knife,118
pick up knife,put down cloth,54
put down knife,shake hands,38
pick up spatula,put down knife,65
put down knife,stir food,21
pick up spatula,rinse hands,55
rinse hands,stir food,10
put down spatula,rinse hands,53
open drawer,put down cutlery,38
close drawer,put down cutlery,28
pick up cutlery,put down cutlery,41
pick up cutlery,pick up cutlery,15
pick up cutlery,put down spoon,31
pick up cutlery,pick up spatula,23
pick up cutlery,stir food,2
pick up cutlery,put down spatula,18
pick up spoon,put down cutlery,14
pick up spoon,put down spoon,386
pick up spatula,pick up spoon,90
pick up spoon,stir food,13
pick up spoon,put down spatula,67
put down cutlery,put down cutlery,24
put down cutlery,put down spoon,14
pick up spatula,put down cutlery,10
put down cutlery,stir food,2
put down cutlery,put down spatula,12
pick up spatula,put down spoon,24
put down spoon,stir food,36
close drawer,pick up kettle,29
close drawer,pick up sponge,172
close drawer,pick up washing up liquid,25
close drawer,squeeze sponge,35
close drawer,lather knife,10
pick up cloth,put down colander,17
put down cloth,put down colander,17
put down colander,turn on hob,3
pick up kettle,put down colander,3
pick up cloth,put down bowl,44
pick up cloth,turn on hob,19
pick up cloth,pick up kettle,2
put down bowl,put down cloth,40
pick up kettle,put down bowl,15
put down cloth,turn on hob,14
pick up kettle,put down cloth,2
pick up kettle,turn on hob,10
close fridge,pick up colander,14
close fridge,pick up sponge,77
close fridge,pick up washing up liquid,16
close fridge,put down colander,10
close fridge,lather knife,8
close bottle,put down knife,10
pick up colander,put down knife,13
adjust hob,open bottle,2
adjust hob,close bottle,1
adjust hob,pick up colander,14
open bottle,pick up spatula,12
close bottle,pick up spatula,9
open bottle,stir food,8
close bottle,stir food,8
stir food,stir food,141
close bottle,put down spatula,9
open bottle,pick up colander,1
open bottle,pick up cutting board,6
close bottle,pick up colander,1
close bottle,pick up cutting board,6
pick up washing up liquid,turn on tap,94
lather knife,turn on tap,51
pick up sponge,rinse sponge,225
pick up sponge,pick up washing up liquid,79
pick up sponge,put down washing up liquid,36
pick up sponge,squeeze sponge,97
pick up colander,pick up sponge,17
pick up sponge,put down colander,17
pick up knife,pick up sponge,146
lather knife,pick up sponge,20
pick up sponge,put down knife,113
pick up cutting board,pick up sponge,23
pick up spatula,pick up sponge,61
pick up sponge,put down cutting board,16
pick up washing up liquid,rinse sponge,59
pick up colander,rinse sponge,17
put down colander,rinse sponge,16
pick up knife,rinse sponge,88
lather knife,rinse sponge,30
pick up cutting board,rinse sponge,29
pick up spatula,rinse sponge,25
pick up washing up liquid,turn off tap,62
lather knife,turn off tap,32
pick up washing up liquid,put down washing up liquid,17
pick up washing up liquid,squeeze sponge,27
pick up colander,pick up washing up liquid,3
pick up washing up liquid,put down colander,3
pick up knife,pick up washing up liquid,38
lather knife,pick up washing up liquid,14
pick up washing up liquid,put down knife,29
pick up cutting board,pick up washing up liquid,9
pick up spatula,pick up washing up liquid,22
pick up washing up liquid,put down cutting board,7
pick up colander,put down washing up liquid,6
put down colander,put down washing up liquid,6
pick up knife,put down washing up liquid,24
lather knife,put down washing up liquid,21
pick up cutting board,put down washing up liquid,9
pick up spatula,put down washing up liquid,14
lather knife,pick up colander,7
lather knife,put down colander,5
lather knife,pick up knife,87
lather knife,put down knife,68
lather knife,pick up cutting board,10
lather knife,pick up spatula,13
lather knife,put down cutting board,14
turn off hob,turn off tap,50
lather knife,put down spatula,11
pick up sponge,put down spatula,55
lather knife,put down sponge,9
lather knife,rinse knife,50
adjust tap,lather knife,1
lather knife,shake hands,9
lather knife,pick up cloth,11
dry hands,lather knife,17
lather knife,put down cloth,12
pick up spatula,put down sponge,50
pick up spatula,rinse knife,25
adjust tap,pick up spatula,12
pick up knife,put down sponge,74
put down sponge,rinse knife,22
pick up cutting board,put down sponge,15
put down sponge,shake hands,37
pick up colander,put down sponge,12
pick up cloth,put down sponge,76
pick up knife,rinse knife,110
adjust tap,pick up knife,15
pick up cutting board,rinse knife,13
pick up sponge,rinse knife,69
rinse knife,shake hands,12
pick up colander,rinse knife,9
put down colander,rinse knife,8
adjust tap,pick up cutting board,6
adjust tap,shake hands,5
adjust tap,pick up colander,4
adjust tap,put down colander,6
adjust tap,pick up cloth,4
adjust tap,dry hands,14
adjust tap,put down cloth,6
pick up cloth,pick up cutting board,39
pick up sponge,shake hands,45
pick up cloth,pick up sponge,81
dry hands,pick up sponge,92
pick up sponge,put down cloth,75
pick up cloth,pick up colander,13
dry hands,pick up colander,12
pick up colander,put down cloth,13
dry hands,put down colander,18
pick up spatula,take knife,8
stir food,take knife,21
pick up colander,take knife,1
pick up bowl,take knife,7
pick up spatula,turn off hob,25
stir food,turn off hob,20
adjust hob,pick up bowl,9
pick up colander,turn off hob,3
turn off hob,turn off hob,6
pick up bowl,turn off hob,20
put down bowl,turn off hob,15
pick up colander,put down saucepan,9
pick up bowl,put down saucepan,11
put down bowl,put down saucepan,7
pick up bowl,pick up bowl,155
pick up bowl,put down knife,66
pick up bowl,take container,4
pick up bowl,pick up spoon,106
pick up bowl,rinse spoon,11
pick up bowl,pick up sponge,123
pick up bowl,put down container,21
adjust tap,pick up bowl,30
pick up bowl,rinse sponge,85
pick up bowl,put down sponge,56
pick up bowl,pick up cloth,42
dry hands,pick up bowl,56
pick up bowl,put down cloth,44
close container,pick up bowl,5
open fridge,pick up bowl,89
close fridge,pick up bowl,52
pick up bowl,rinse cloth,17
pick up bowl,wipe surface,38
pick up bowl,pick up plate,83
pick up bowl,put down plate,59
pick up bowl,wash hands,67
pick up bowl,rinse hands,66
open drawer,pick up bowl,215
close drawer,pick up bowl,130
pick up bowl,pick up cutting board,15
pick up bowl,put down cutting board,18
pick up bowl,put down spoon,58
move tap,pick up bowl,38
pick up bowl,rinse bowl,97
put down bowl,take container,6
pick up spoon,put down bowl,81
put down bowl,rinse spoon,8
pick up sponge,put down bowl,84
put down bowl,put down container,20
adjust tap,put down bowl,16
put down bowl,put down sponge,57
put down bowl,rinse cloth,17
put down bowl,wipe surface,17
pick up plate,put down bowl,42
put down bowl,rinse hands,65
pick up cutting board,put down bowl,9
put down bowl,put down cutting board,12
move tap,put down bowl,26
pick up spoon,take container,2
pick up sponge,take container,7
adjust tap,take container,2
rinse sponge,take container,8
put down sponge,take container,6
take container,turn off tap,31
take container,turn on tap,23
put down lid,take container,7
pick up cloth,take container,8
pick up lid,take container,4
pick up container,take container,7
rinse cloth,take container,14
take container,wipe surface,13
pick up plate,take container,1
pick up spatula,take container,2
take container,wash hands,4
shake hands,take container,2
pick up spoon,rinse spoon,68
pick up sponge,pick up spoon,149
adjust tap,put down container,24
pick up sponge,put down container,73
put down container,rinse sponge,58
put down container,put down sponge,69
put down container,rinse cloth,63
pick up plate,put down container,88
put down container,wash hands,19
open container,rinse cloth,14
open container,wipe surface,13
open container,pick up plate,22
open container,put down plate,26
open container,wash hands,5
pick up sponge,pick up sponge,202
put down lid,rinse cloth,10
put down lid,wipe surface,18
pick up plate,put down lid,89
put down lid,put down plate,114
close container,close container,11
pick up container,rinse cloth,57
pick up container,wipe surface,14
pick up container,pick up plate,86
pick up container,put down plate,97
pick up cloth,rinse cloth,113
open cupboard,wipe surface,77
open cupboard,rinse cloth,109
pick up plate,wipe surface,50
pick up plate,put down plate,509
pick up plate,rinse cloth,35
adjust tap,pick up plate,24
close cupboard,wipe surface,55
close cupboard,rinse cloth,71
close cupboard,rinse hands,94
pick up spatula,wipe surface,31
pick up spatula,rinse cloth,10
pick up spatula,wash hands,44
shake hands,wipe surface,29
pick up cloth,wipe surface,67
dry hands,wipe surface,77
rinse cloth,shake hands,58
put down cloth,put down cloth,62
shake hands,wash hands,34
pick up cloth,wash hands,53
open cupboard,rinse bowl,35
pick up container,rinse bowl,7
close cupboard,move tap,63
move tap,pick up colander,2
move tap,put down colander,2
move tap,put down saucepan,17
open container,rinse bowl,7
move tap,put down sponge,56
move tap,rinse hands,81
put down lid,rinse bowl,10
pick up colander,rinse bowl,1
pick up spatula,rinse bowl,6
close door,open bottle,9
close door,open bin,1
close bin,close door,3
open bottle,pick up plate,15
open bin,pick up plate,10
close bin,pick up plate,11
pick up spoon,put down plate,110
pick up cup,put down plate,44
open bin,open bottle,5
close bin,open bottle,4
open bottle,pick up spoon,14
open bottle,pick up cup,3
pick up spoon,turn on tap,285
pick up spoon,turn off tap,225
open bin,pick up spoon,20
open bin,pick up cup,2
close bin,pick up spoon,20
pick up bowl,pick up cup,20
pick up cup,pick up pan,20
pick up colander,pick up tea towel,1
open cupboard,pick up tea towel,41
close cupboard,pick up tea towel,34
pick up bowl,pick up tea towel,45
pick up pan,pick up tea towel,12
pick up cloth,pick up tea towel,1
pick up cutting board,pick up tea towel,2
pick up bowl,put down cup,10
pick up pan,put down cup,15
open cupboard,pick up pan,235
open cupboard,rinse spoon,48
open cupboard,rinse cup,14
close cupboard,pick up pan,149
close cupboard,rinse spoon,33
close cupboard,rinse cup,17
pick up bowl,pick up pan,68
pick up bowl,rinse cup,8
pick up pan,turn on tap,296
pick up pan,rinse spoon,29
pick up pan,rinse cup,3
rinse cup,rinse cup,29
open freezer,put down knife,20
open drawer,open freezer,87
open freezer,pick up knife,27
open freezer,pick up pan,14
open freezer,put down pan,13
close drawer,open freezer,61
open freezer,turn on tap,50
open freezer,rinse hands,20
open freezer,turn off tap,49
open freezer,shake hands,18
open freezer,pick up cloth,29
dry hands,open freezer,34
open freezer,put down cloth,26
open bottle,open freezer,5
close bottle,open freezer,5
open freezer,put down bottle,4
open freezer,turn on hob,6
open freezer,pick up plate,17
open freezer,put down plate,15
open freezer,pick up salt,3
open freezer,put down lid,4
open freezer,put down jar,2
close door,open freezer,5
open freezer,pick up cup,2
open freezer,pick up onion,6
open freezer,put down cup,2
cut onion,open freezer,11
open freezer,pick up spoon,5
open freezer,peel onion,10
open freezer,pick up spatula,38
adjust hob,open freezer,6
open freezer,stir potatoes,28
open freezer,put down spatula,37
open freezer,pick up fork,11
open freezer,put down fork,8
open freezer,stir food,13
open freezer,wash hands,9
open freezer,put down salt,2
open cupboard,open freezer,64
open freezer,pick up bowl,17
open freezer,put down bowl,15
open freezer,pick up glass,6
open freezer,put down glass,7
open freezer,pick up lid,4
close bin,open freezer,2
open freezer,pick up cutting board,7
close cupboard,open freezer,38
open freezer,put down cutting board,5
open freezer,pick up washing up liquid,3
open freezer,pick up sponge,12
open freezer,put down washing up liquid,4
open freezer,rinse sponge,9
lather knife,open freezer,1
open freezer,put down sponge,8
open freezer,rinse knife,2
move pan,open freezer,5
cut potato,open freezer,5
open freezer,rinse cloth,3
open freezer,wipe surface,8
lather fork,open freezer,1
open freezer,rinse bowl,4
